No,Youtuber,subscribers,video views,video count,category,started
218,Chloe Ting,"24,000,000","2,735,828,023",367,Howto & Style,2011
219,Rans Entertainment,"24,000,000","5,688,277,632","3,060",People & Blogs,2015
220,Raffy Tulfo in Action,"23,900,000","12,797,189,774","8,755",News & Politics,2016
221,KSI,"23,900,000","5,898,102,699","1,242",Entertainment,2009
222,James Charles,"23,900,000","3,687,600,020",406,Entertainment,2015
223,Collins Key,"23,900,000","6,368,398,946",251,Entertainment,2011
224,Ninja,"23,900,000","2,447,087,199","1,418",Gaming,2011
225,Logan Paul,"23,500,000","5,889,189,870",712,Entertainment,2015
226,Coldplay,"23,500,000","15,078,170,011",347,Music,2010
227,Chris Brown,"23,400,000","13,630,944,140",21,Music,2006
228,DJ Snake,"23,400,000","7,645,734,689",209,Music,2008
229,Happy Lives,"23,400,000","10,089,784,164",596,Science & Technology,2016
230,TRANS7 OFFICIAL,"23,300,000","12,454,676,964","78,951",Entertainment,2014
231,Troom Troom,"23,200,000","9,797,581,328","1,992",Howto & Style,2015
232,ABPLIVE,"23,200,000","6,805,551,423","146,479",People & Blogs,2017
233,NickyJamTV,"23,100,000","15,050,718,616",328,Music,2012
234,Mister Max,"23,100,000","14,762,469,807","1,046",People & Blogs,2014
235,Shemaroo Movies,"23,000,000","5,590,554,837","2,155",Entertainment,2011
236,Enrique Iglesias,"22,900,000","16,539,033,540",405,Music,2007
237,Sesame Street,"22,900,000","21,078,177,585","3,425",Entertainment,2006
238,netd müzik,"22,800,000","50,658,927,334","20,482",Music,2014
239,Jelly,"22,800,000","14,239,994,409","5,667",Gaming,2014
240,Erlania e Valentina Pontes,"22,700,000","7,556,615,404","1,117",Film & Animation,2014
241,DrossRotzank,"22,500,000","5,743,037,460","1,508",Entertainment,2006
242,Anuel AA,"22,400,000","11,627,613,226",92,Music,2016
243,Goldmines Bollywood,"22,400,000","7,122,122,133","2,409",Film & Animation,2015
244,The Chainsmokers,"22,300,000","13,337,815,978",237,Music,2012
245,Crazy XYZ,"22,300,000","5,869,132,761","1,085",Entertainment,2017
246,Mark Rober,"22,300,000","2,935,811,566",107,Science & Technology,2011
247,Frost Diamond,"22,300,000","5,357,578,673","2,191",Gaming,2014
248,Miss Katy,"22,300,000","13,424,354,473",990,People & Blogs,2014
249,Technical Guruji,"22,200,000","3,065,204,553","4,609",Science & Technology,2015
250,The Lallantop,"22,200,000","8,155,335,430","39,370",News & Politics,2015
251,HUM TV,"22,100,000","16,656,148,835","59,428",Entertainment,2011
252,GMM GRAMMY OFFICIAL,"22,100,000","24,128,528,075","13,755",Music,2010
253,Like Nastya AE,"22,100,000","11,179,266,145",576,Entertainment,2018
